iter	Passed	Remaining
0	1	189
1	3	171
2	5	178
3	6	166
4	8	167
5	10	167
6	12	169
7	14	170
8	16	171
9	19	173
10	21	172
11	23	171
12	25	172
13	28	172
14	30	170
15	32	170
16	34	169
17	36	167
18	39	167
19	41	165
20	43	163
21	45	161
22	47	160
23	50	158
24	52	157
25	54	155
26	56	153
27	58	151
28	60	148
29	62	146
30	64	144
31	66	142
32	68	139
33	70	137
34	72	134
35	74	131
36	75	129
37	77	127
38	79	124
39	81	122
40	83	119
41	83	115
42	85	113
43	87	110
44	88	108
45	90	105
46	91	103
47	93	101
48	94	98
49	96	96
50	97	93
51	98	91
52	100	88
53	101	86
54	102	83
55	103	81
56	104	79
57	106	76
58	107	74
59	109	72
60	110	70
61	111	68
62	112	66
63	113	63
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	120	51
70	121	49
71	122	47
72	122	45
73	123	43
74	124	41
75	125	39
76	126	37
77	127	35
78	128	34
79	129	32
80	129	30
81	130	28
82	131	26
83	132	25
84	133	23
85	133	21
86	134	20
87	135	18
88	136	16
89	136	15
90	137	13
91	138	12
92	139	10
93	139	8
94	140	7
95	141	5
96	142	4
97	142	2
98	143	1
99	144	0
